2021-05-27 18:22:42 [restartedMain] INFO  ms.invoice.MsInvoiceApplication - No active profile set, falling back to default profiles: default
2021-05-27 18:22:55 [restartedMain] INFO  ms.invoice.MsInvoiceApplication - Started MsInvoiceApplication in 18.446 seconds (JVM running for 19.4)
2021-05-27 18:27:10 [restartedMain] INFO  ms.invoice.MsInvoiceApplication - No active profile set, falling back to default profiles: default
2021-05-27 18:27:22 [restartedMain] INFO  ms.invoice.MsInvoiceApplication - Started MsInvoiceApplication in 17.531 seconds (JVM running for 18.403)
2021-05-27 18:36:39 [restartedMain] INFO  ms.invoice.MsInvoiceApplication - No active profile set, falling back to default profiles: default
2021-05-27 18:36:47 [restartedMain] INFO  ms.invoice.MsInvoiceApplication - Started MsInvoiceApplication in 13.735 seconds (JVM running for 14.65)
2021-05-27 18:58:07 [restartedMain] INFO  ms.invoice.MsInvoiceApplication - No active profile set, falling back to default profiles: default
2021-05-27 18:58:15 [restartedMain] INFO  ms.invoice.MsInvoiceApplication - Started MsInvoiceApplication in 13.584 seconds (JVM running for 14.435)
2021-05-27 19:20:39 [main] INFO  ms.invoice.MsInvoiceApplicationTests - No active profile set, falling back to default profiles: default
2021-05-27 19:20:52 [main] INFO  ms.invoice.MsInvoiceApplicationTests - Started MsInvoiceApplicationTests in 22.345 seconds (JVM running for 23.768)
